goal,sol
slow cooker,can melt butter 
how to make coconut-almond truffles,"Combine 3/4 cup almond butter, 1/2 cup each confectioners’ sugar and unsweetened shredded coconut, 3 tablespoons cocoa powder and 1/2 teaspoon vanilla; work into a dough. Roll into balls, then roll in shredded coconut. Chill."
Cut out pages from a book,Using a plastic knife open the book and cut along the page near the binding.
How do you make maracas?,Wash the water bottle and remove the label with Goo Gone.     Fill the bottle with a handful of marbles and beads.     Glue the lid on the bottle with plastic adhesive to make sure those little bits don't ever get out.
To make a chalkboard out of wooden pallet planks.,Use chalkboard paint on the wood.
crayon,can color  the paper nicely
How to get water out of coconut.,Use a hammer and a nail to pierce a few holes in the top of the coconut. Pour into colander.
What is the best way to apply nail polish to a professional result?,"Tape the cuticles with any kind of tape that has been cut to fit snugly around the nail. Then go ahead and paint the nails. Remove the tape and if you still got nail polish on your cuticle or fingers, dip a q-tip in nail polish remover and wipe the excess away."
How can I get a stain out of my new hooded sweatshirt?,"Dab it with a rag and a some cold water. Then, apply stain remover and launder the clothes."
fridge,prevents live plants from spoiling
"To melt chocolate, you can",Place in a metal pot over the stove
One wants to watch free public broadcasts.,One should set up a cable box.
Establish a health history for new puppy.,Take to the vet after a few months.
How do you remove mortar from a brick to recycle it (the brick)?,"While holding the brick in one hand, hold a hammer in your other hand and gently tap the mortar to un-stick it from the brick."
"To allow yourself to make edits, while writing by hand.","Use a pencil, instead of a pen, so you can erase any mistakes."
How can I clean my toenails of debris?,Take a pencil tip and work under your nails with it to get the junk out from under them.
hot pad,can take away stomach ache quickly
Remove smell from camping gear.,Throw in sock filled with cat food.
Get a babysitting job.,Not old enough to work? You can babysit. Let your parents know and ask them to tell their friends.Make sure to charge enough and have fun with the kids.
How do you prepare paper for papier mache pulp?,Find old cardboard boxes and make them flat. Cut them with scissors until you have a full bucket of tiny paper pieces.
"To prepare the cream for baking,","measure 2 cups of heavy cream with a measuring cup and pour into an 8"" square baking dish."
Eat a well balanced diet,Fruit helps to satisfy your sweet tooth thanks to its natural sugars
Cut the sleeves off the shirt,Use scissors and cut along the seam at the bottom of the sleeve
straw,can be lit for fire to stay warm
"To charge a phone while out in public with only the charger,",ask a friendly looking stranger on the street to charge it.
to store cast iron pans so they stay dry,store with old rags or beach towels between them
"What do you need to make homemade ""Blackhead Pore Strips""?",You will need: 1) water 2) unflavored gelatin 3)  activated charcoal 4) wash cloth 5) paint brush 6) microwave and 7) something to stir with
How can I tell if my apples are genetically grown (or altered),The 5 Web addresses on the label will begin with the number 911.
To thicken a mixture,Add corn starch
Remove an ant colony.,Spray a mix of 1/4 water and 3/4 salt on ants.
,
serrated knife,can cut glass 
How to quickly dry a towel?,"Once the towel is washed, twist and strain it in the bathtub then dry in the dryer and hang outside afterward"
Write a children's book,"Research what may be needed now in society, concerning children's books. find an illustrator, make a practice book and then sharpen it until it's honed to perfetion, ask for some critique, apply or don't. And publish"
Deodorize an item.,Keep item in a trash bag full of kitty litter for a few hours.
"To attach strips of cardboard to a larger piece of cardboard, you can",Use a hot glue gun to hold the strips of cardboard in place
How do you leach acorns via cold process?,"Place the acorns in a jar and pour in just enough water to completely cover the acorns. Let it soak for a month, and then pour out and replace the water with fresh water. Repeat this for one year."
Prevent soggy microwave pizza.,Add a cup of milk next to pizza in microwave.
how to make deviled eggs,"start with hard boiled, cooled eggs. Slice the eggs in half lengthwise, removing yolks to a medium bowl, and placing the whites on a serving platter. Mash the yolks into a fine crumble using a fork. Add mayonnaise, vinegar, mustard, salt, and pepper, and mix well. Evenly disperse heaping teaspoons of the yolk mixture into the egg whites"
How do you prepare mashed yams to be cooked?,"Wash, peel, and trim the yams. Place the yams onto a cutting board and use a sharp knife to cut them into small, irregular chunks that are all varying  same size."
To dust your ceiling fan,"Use a leaf blower, point it towards each blade individually, and turn it on to spray the dust around the room."
how to grill boneless chicken?,quickly over direct heat
how do you open a wrapped present?,cut off the wrapping paper.
Scrub tough grime off kitchen counter tops.,Use a vegetable plastic bag to clean.
Roughen up the smooth surface of a hanger,"Slide a piece of fine grade sand paper over the entire hanger, until the hanger surface is no longer smooth"
how do you get a dog to fetch?,"pick an object away from the dog and yell ""fetch"""
"To make a photocopy of a page in a book,","find the page in the book, place it onto the glass of the photocopier with the page facing up, then press the copy button."
protractor,can stab pill bug 
How do you separate the yolk from the egg white?,Crack the egg and split the shell in half.  Gently pass the yolk back and forth between the shell halves until the egg white is removed.
What is the best material to be used for the solar air heating box?,Use a wooden box of required size and punch holes on the for allowing air passage.
To cut circles out of dough without a cookie cutter.,Use a glass by turning it upside down and using the rim.
To wash clothes in a washing machine.,"Sort the clothes according to sizes, put clothes with similar sizes in the same load and wash."
How to attract hummingbirds to your garden?,Hummingbirds are territorial so it is best to have several different feeders or patches of flowers that hummingbirds will be attracted to. Otherwise they might fight and they will leave and not want to return.
How can you improve the chance you will remember something?,Repeat the Lords prayer over and over verbally.  People remember 50 percent more when they verbalize a prayer.
To cure a hangover,Try honey on crackers. The fructose in the honey will flush out the crackers in your system.
how to clean a container that held melted wax,Heat the measuring cup so that all the wax inside is liquid and rehardened. Then wipe out measuring cup with a paper towel. Repeat if necessary to get all of the wax out.
How to make lemon Cooler cookie Ice cream at home.,"In a medium mixing bowl combine 7 cups chilled whipping cream, 2 14 oz. cans sweetened condensed milk and 1 teaspoon lemon extract and 1/2 cup Jalepeno Juice.   Beat with an electric mixer until soft Peaks form add 3/4 cup Chopped Lemon Cooler Cookies. Transfer mixture to 8x8x2 inch baking pan.  Freeze about 8 hours until firm."
how do you make a copy of a key?,take the key to walmart and go to the auto center. have them make you a copy.
"To make a pastry crispier after it has gone soft,",simply boil the pastry in order to bring more shape and crisp to it.
Make clothes drawer dividers.,Cut the tops off tissue boxes.
baskets,can store bicycles 
,
How to make tuna salad.,"Once you've opened the can of tuna, drain the brine away. Next, add the tuna to a bowl. Stir in the rest of your ingredients : Mayo, celery, onion, pickle relish, garlic, and lemon juice. Mix well and season to taste with salt and pepper."
How to make Caramel Chocolate chip Girl Scout Cookie Vanilla Ice cream at home.,"In a medium mixing bowl combine 7 cups chilled whipping cream, 2 14 oz. cans sweetened condensed milk 1 teaspoon Vanilla extract.  Beat with an electric mixer until soft Peaks form. Stir in 1 1/2 cups Caramel Chocolate Chip Girl Scout cookies (Sliced in 3/4"" strips or crumbles)  and 1/2 cup Chocolate chips.  Transfer mixture to two 8x8x2 inch baking pans. Freeze about 8 hours until firm."
stapler,can bash open  pumpkin  
To keep homemade apple juice from turning brown.,"You can take any vitamin c tablets, and add a small, small amount to the food processor. I chop a 500mg tablet into quarters and add all of them to each processor load."
"crisp, textured layers in crust","add vodka to the dough. The alcohol evaporates while it’s being cooked, and the dough is left puffy and soft"
dish towel,will wipe away dry and old paint from the counter
Easy way to maintain a shopping list for groceries.,"Save time by creating your shopping list during the week. Keep a blank piece of paper or use a magnetic message board and as you run out of things, write them down. That way you won't need to waste time thinking about what you ran out of."
How to make a vodka and soda?,Put some ice in a glass. Measure an ounce and a half of soda in a glass. Finish the cocktail with vodka.
To make an alcohol watermelon.,Cut up the watermelon and squish it to make a juice and then add alcohol.
How can I give a home made dog bed shape?,Roll quilts around a pool raft.
To smooth the edge of the bar stool seat.,Take the router with round over bit. Go around the edges of the bar stool seat. Round the edges on the bottom of the seat.
Organize restaurant delivery menus.,Mount a brochure holder to wall or inside door.
See designs of all t-shirt designs at once.,Fold shirts vertically before storing.
how do you use a zipper?,pull it along the zip line unconnected to close or open an object.
Finish the concrete patio.,Using a float make side to side sweeps across the poured concrete until it is level.
To know when your plaster mold is ready to break open,You can use a hammer to keep track of how much time it takes for the plaster to dry.
How to paint your go cart?,Fill the holes clay with and a spatula. Put the undercoat into your spray gun and use in a even coat. Then spray your top layer Sand down any paint splotches.
fertilizer,can be used for  growing rocks 
How to prepare to patch a bicycle tube?,"Once you've isolated the puncture, scrape it smooth with some sandpaper until it is clean and smooth then apply the patching glue"
how do you find out what's wrong with a car?,ask it what's wrong with it.
How would you sew together the separate panels of fabric to make a doctor who 4th doctor look-alike scarf?,"Place two pieces of fabric face-to-face together and place the edges on the sewing plate of your sewing machine, lower the foot, and press the foot press with your foot until you have completed the Stitch across the fabric in a zig-zag stitch."
To reshape a steel buckle.,Heat up the buckle and then heat with hammer to reshape
Prevent feet from sweating when wearing flats.,Sprinkle outside of shoes with dry shampoo.
How to quickly cool down a bottled water drink?,Run the bottle under some water and wrap a paper towel around it then place in the freezer for 20 minutes
How to make a Wild Blackberry cobbler at home.,"Wash  4 cups fresh or frozen wild blackberries toss berries with 3 tablespoons Lemon juice.  Use Pillsbury Cinnamon roll(tube type) from refrigerated section in the market, with rolling pin, roll to less than 1/2 inch thick.  Line the base of a deep metal baking pan/dish with the dough.  Reserve approx. 1/3 of dough for cover.  (You will place this on top after you finish preparing the filling.)  Place blackberries in dish atop the roll dough.  Sprinkle 1 cup granulated sugar, 2 tbs. Brown sugar 1 tablespoons cinnamon, 1/2 cup butter (In small pieces), on top.  Sprinkle 1/2 tablespoon of salt atop.  Place crust over everything.  Bake in the oven at 375 for 40 min.  Remove from oven when crust brown and pie is bubbly.  Enjoy."
hook,snag tree accidentally
To keep your pizza crust from getting chewy when you microwave it,Put a small glass of water in the microwave when you heat the pizza
how do you open a wine bottle?,take the cork out of the top.
how do you clean a kcup machine?,scrub it.
mirror,can be broken by a brick if thrown
,
Remove odor from microwave,Crush activated charcoal and place in microwave for a few hours.
"When making blueberry muffins or cupcakes, how do I keep the blueberries from turning the muffin or cupcake blue?","When you add the blueberries, make sure that they are fully thawed."
how to add feet to a coaster.,"place a board under the coaster, and secure with zip ties and a glue gun."
how to remove a tick,Get your tweezers right down on your skin so you can grab as close as possible to the tick's head and pull up slow and firm to remove tick. Then cleanse area where you removed it from and flush the tick down the toilet.
Keep cutting board in place.,Place damp paper towel under board.
How can I get the marker stain out of my t shirt?,Run it under cold water with a bar of soap. Then use stain remover on it before putting it in the dryer.
to keep from ruining the walls when painting,Use double-sided tape or hot glue UNDER painter's tape
How do you break down the leaves harvested from a Yucca plant in order to process it for fiber?,"Lay the Yucca leaf on a flat, hard surface. Hold a flat, smooth, and heavy rock above the leave and bring it swiftly down on top of the leaf. Do this repeatedly along the length of the leaf to break down the plant fibers."
how to find the surface area of a cube,"To find the surface area of a cube, use the formula: surface area = 6s^2, where s is the length of one of the sides. If you don't know the length of the sides, you can find the surface area using volume. Just find the cube root of the volume, which is equal to the length of one side of the cube plus the volume."
How to chill dough for ricotta tart.,Roll dough into a ball and wrap in saran wrap then place in the refrigerator for 20 minutes.
Remove caked dust from plastic window blinds.,Use bleach to wipe stains.
how do you use a diving board?,jump off of it into the pool
"To reduce the amount of bubbles in concrete, you can",Tap the concrete all over with a rubber mallet after pouring it
How to make the front of your DIY Viking Cardboard shield?,Take a strip of paper then place a thumbtack in the center of your cardboard. Trace the desired length with a pencil. Cut out with scissors carefully.
How can I avoid nailing my thumb when starting a nail with a hammer?,"Use a hair comb, put the nail in the teeth of the comb deep enough to hold solidly, then hold the nail in its location with one hand and hammer the nail in with the other."
How do I prepare my dry ingredients when making garlic naan?,n a large bowl add in your flour and salt and mix till combined with a sponge
How do I clean plantain leaves before cooking?,Soak leaves in warm water.  Gently rub off any dirt spots.  Rinse thoroughly.
Tie a string knot very tight,"After folding the pieces of string over to form the knot, pull the two string middle portions using your hands"
"To mix other oil paints to create orange,","squeeze equal amounts of white and red oil paints onto a palette, and mix them with a palette knife blade, adding more of either color to adjust the shade."
container,can store tin foil 
One seeks to shield themselves from the rain via easy DIY methods.,One should make an umbrella.
How to underline text in OneNote,"Locate the text you wish to underline, and highlight it. On the top of the screen, click the ""U"" button to underline it."
To make whipped cream ahead of time without it getting runny in the fridge.,"To keep it from weeping while it sits in the fridge, add a little peanut oil near the end of the whipping process. The marshmallow cream not only adds structure to your whipped cream, but some extra yumminess as well."
tongs,can mix salad 
To get air bubbles out of cakes.,"For perfectly smooth cakes and cheesecakes, throw your pan of batter onto your counter top a few times before baking. The force of the pan hitting the counter forces the air bubbles up to the surface, so they don’t get trapped in the batter."
how to make the color orange with paint?,mix together red and yellow paint
"To clean stainless steel pots,",spray the pot with apple cider vinegar and rub with a clean cloth in the direction of the east.
Remove hair from hair brush.,"Cover brush head with saran wrap, use a pen to push down and collect hair."
Make stick arms for Frozen Olaf Cake Topper.,"Cut your fine gauge wire into small pieces, roll out your black sugarpaste into sausages with balls on the end. Carefully stick your wire through the arms then use your scalpel to cut the hands out."
To open a milk container.,"Twist off the top, discard it, and remove the seal underneath."
,
"To make a hard shelled taco,","put seasoned beef, cheese, and lettuce into the hard shell."
Mixing the ingredients,"Mix the cookie crumbs, pecans, and caramel together, add the condensed milk mixing with a spatula, then roll the mixture into a log using a plastic bag."
pan,can cook bacon 
laser,burns face 
How do I turn on a desktop computer?,You need to insert a screwdriver in an electrical socket while your second hands touches two metal pins on the motherboard.
How can I clean the grate of a bird cage?,Use an old toothbrush and soap and water.
How can I cut pieces of wood down to the length that I need?,"First measure out the length that you need with a tape measure, then cut with a circular saw."
A convenient way to store trash bags.,"After you’ve finished using a container of disinfecting wipes, put your trash bags in it and pull them out as needed."
How do I get the window of my van clean?,Use some glass cleaner and a rag to clean the window.
To add chocolate and caramel to hot milk and cream.,"Chop the chocolate into small chunks. Bring the milk and cream to a simmer on a low - medium heat. Once the mixture begins to simmer, remove from the heat and add the chocolate and caramel sauce."
To peel the shell off of a hard boiled egg.,To begin peeling your eggs lightly tap the egg on some paper towel and crack the shell all over. Then with your thumb begin to peel the shell away from the egg.
"To lose weight while still eating a lot of food every day,",cut out the carbs in the meals that you cook and eat.
How can I safely melt the ice on my windows?,Use a mixture of 2/3 parts snow and one part water and spray on iced windows.
How can I soak up spills on concrete?,Use dry cat food on spills.
candy dish,can be used to store carpets 
How do you make plain toast?,"Gather a slice of bread and a toaster, place the bread into the toaster and push the button down, when the button pops up your toast is ready."
How to download an app on an iphone,Open the apple app store and search for app.
Avoid germs from hotel bed.,Use a bed sheet under hotel bed.
how do you take pills?,place the pill on your tongue and swallow with water.
how do you test if pasta is fully cooked.?,"throw a piece of pasta on the wall. if it doesn't stick, it isn't ready."
use baby wipes for hemorrhoids,"You can use baby wipes to make homemade hemorrhoid wipes that are so much cheaper than the ones you can buy in stores. Start with a package of wipes that contain aloe, then pour about 1/2 cup of witch hazel and a cup of clorox into the package. The combination of aloe and witch hazel is extremely soothing!"
How do I mix in the flour for butter cookies?,"To make butter cookies, after you cream the butter, sift the flour into the bowl."
sleeves,Can be cut by a knife with ease
How can I remove a nail from wood?,Use the claw end of the hammer.
basket,holds lost things
remove paint from skin,"rub baby oil in a circular motion, until it all comes off."
How can you avoid being affected by Poison Ivy?,Rub Poison Oak on your skin before going out.
What materials are needed to make ganache?,Melted chocolate and cream
how do you flush something?,let it go down the toilet when you flush.
To make a gnome's body filled with lavender flowers.,Cut a fabric to a circle 6 inches in diameter. Put the rose flowers in a couple of tea bags and place on the fabric. Bunch up the fabric and the rose into a ball shape. Secure the opened top with a rubber band.
,
peeler,Can carve neat  edge  on frame
Plastic wrap,can keep soda fresh
"To get a pinch of salt,","using your thumb and other four fingers, pinch as many salt granules as you can hold in between them."
bobby pin,can pierce needle easily
trees,provide homes for animals 
How to dry tomato seeds without them sticking together?,"Instead of using paper towels, lay the tomato seeds closely together over used coffee filter paper"
Add taco filling easily.,Hold taco shell up by placing fork handle on one edge.
To thicken syrup made with berries.,Mash a few raspberries and blueberries until I had enough juice. I added a pinch of Arrow Root starch flour and mixed it thoroughly. I cooked it over a low heat until it just began to thin.
How to clean grime on a stove top?,"Mix together baking soda and water, turn the plate on and scrub with steel wool and the mixture then let sit for a day before washing off"
What do you use to make a DIY lotion bar smell good?,You can use oils and add as many drops as you'd like.
To keep taco fillings from spilling out.,"Line your taco shells with a lettuce leaf. Then when your shell breaks, the lettuce leaf will catch the rest of the fillings."
How can you preserve your shower curtain and stop it from molding?,"Wash it in salt water first, this will keep mold off of it."
basket,can enclose a safety pin 
Upholster a piece of padded wooden furniture.,"Sew the fabric to the wooden piece on one edge, then stretch the fabric taut as you work around the piece, sewing as you go."
How do I make a PB&J?,"Take bread, spread butter on one side and jelly on the other, then place spread sides together."
paperweight,can be put inside  eyes 
baby powder,can be wiped up by ice cream scoop 
How to saute onion.,"Pour small amount of olive oil into baking sheet over hot stove. Add onions and stir occasionally, cooking until transparent."
How can I stop Eye strain and help prevent headaches?,Follow the 200 200 200 rule: Look at something 200 feet away for 200 seconds every 200 min. while travelling or reading will help prevent eye strain/stress.
how do you prepare for surgery?,don't eat anything for 24 hours prior
how to keep colors from fading in the wash,"wash clothes inside out, and on a cool dryer"
How to ignite a gas stove with a tricky igniter?,Turn off the gas and at the small area near the base light with a large match or flame
If you want to get money from an ATM or other cash cheaply with no fees what can you do?,"If you want to get cash, simply buy something for .99 like a soda, and get cash back from the cashier that way you have ZERO ATM fees."
"To quarter biscuits, you can",Take the biscuit in your mouth and tear it into quarters
Dumpster dive.,Scope out a place with a dumpster you are interested in. Get a long stick and a stool to be able to reach into the dumpster. Grab the free items you want.
How to make White Chocolate Mint-tini.,"Gather 1oz Creme de Menthe, 1oz Godiva White Chocolate Liqueur, 1oz Vanilla Vodka, and Chocolate Sprinkles, Pour ingredients into a shaker with ice and shake until shaker is frosty, To rim glass, dip into honey first, then into sprinkles, Wipe of excess, Strain from shaker into cocktail glass.    ,"
Flour,can make plastic when wet
Maximize full toothpaste.,Attach a binder clip to tube end.
"To increase the power of a vacuum,",cut out any hairs caught in the suction part.
how do you shield someone?,stand in front of them so that no harm comes their way.
,
How to remove stains from a leather wallet?,Buff the wallet with some water and press lightly into it to remove scuffs and stains
"When working on the electrical components inside a lamp, you should",Make sure to leave the lamp plugged in
One seeks to make a cord weave.,One will need a short amount of cord.
how do you inflate a tire?,let the air out.
how do you distract someone?,keep them occupied with something else.
How do I prep my eye glasses if I wanted to paint the frames a different color?,"To prep your eye glass frames for paint, take the lenses out first. Then you will need to take some steel wool and rough up the lenses. Once that is done, put a small amount of elmer's glue on each hinge. Let dry for about 30 minutes."
"To prevent a certain area of a piece of paper from being colored when applying dye, you can",Place a strip of masking tape on the part that you don't want to be colored
How to eat a grapefruit.,"Using an orange peeler, remove the rind and then break each section off and enjoy."
When making a bottle cap dragon how are the caps fastened?,With a hot glue pen.
How can you make your stale bagel edible?,"Run it under hot water for thirty seconds, then place in  microwave oven for 5 min."
"To make your own pop up card,",cut the shapes out of a folded piece of paper and leave loosely arranged in the card.
What supplies are needed to make flubber soap?,Cornstarch         Vegetable oil (or whatever oil you have on hand)        Pretty smelling liquid soap or shampoo        Food dye (optional)        A bowl and spoon
shampoo,cleans clothes from dirt
mop,has a blade 
how do you put a stamp on a t-shirt?,you iron it on.
sunbathing,makes stripes appear
a shelf,can hold a book 
Hold hair pins near tub.,Place pins on top of paper towel roll.
change a lightbulb in a ceiling fan,"Turn the switch off for the fan and light.Carefully reach up and take hold of the bulb that is blown. If it is hot because it has been on recently, use a cloth to protect your hands. Unscrew the bulb and carefully screw in a new bulb until it is tight."
How to order room service,Pick up the landline phone in your hotel room or village. Dial the number provided for room service or zero for the operator. Order from the menu.
skateboard,use the edges to apply toilet tissue to something
how do you butter toast?,dip the toast into a tub of butter.
"To make small candles to float in water,","rub a blue candle on a grater over an ice cube tray and fill the tray with melted candle wax, then stick a wick in each cube wrapped around a pencil, after solid pull them out."
How to thicken barbecue sauce.,Pour sauce into mason jar and place in refrigerator.
"To sharpen the end of a nail, you can",Run the end of the nail on concrete until it becomes sharp
What materials are needed to hand sew an article of clothing?,"Thread, needle, scissors, material and ruler"
How can I keep paint off my carpet when painting my baseboards?,"Roll out 2-in. wide packing tape so its upper edge rests about 1/2 in. above the carpeting on the baseboard. The tape should rest lightly on the baseboard so it doesn’t adhere. Then tuck this edge down behind the carpet edge, first with your fingers, then with a wide putty knife. Remove the tape carefully after the paint dries."
to attract blue banded bees to the homemade insect hotel,Use a wet half sand wood mixture in the hotel
hose,can cut camera easily
How to make hole in tin can.,Use a drill to drill hole into sides of the can.
,
To remove permanent marker from clothes,use hand sanitizer
How to wear a wide brimmed hat?,Take the hat and place it on your head so that the hat goes inside out once it's worn.
To tidy up the pancake making process,Put the pancake mix in a clean ketchup bottle.
To cover the slide portion of a child's wooden slide,Use a smooth surface with an adhesive back.
folder,can be put into Christmas stockings 
Wire Racks,can hold cups 
To knock out a stone fireplace for a renovation,"Use a 10 lb sledge hammer, hitting the stone until it all falls apart."
how do you shut off the wifi?,shut off your devices.
"To make as simple bread recipe,","mix flour, yeast and water."
"How can I make money, at home, easily?","Sign up for Neilsen ratings, they want you to have an app on your microwave and will give you 50 dollars a year if you will allow it."
How to open an electronic gadget's case,Use a thick water pick as a pry along the edges of the case to open it.
To make honey chipotle marinade for chicken,"In a glass bowl and with a metal spoon mix together three tablespoons canola oil, two teaspoons jarred minced garlic, three tablespoons honey and two tablespoons chopped canned chipotle peppers in adobo sauce until well blended. Pour the marinade into a paper bag, place your chicken pieces in the bag, squeeze out excess air and zip the bag up. Squish the chicken around in the marinade and leave overnight."
Make a camping shower head.,Attach a watering can to a small jug.
To get rid of under eye bags.,Get a raw carrot and wash it and peel it. Cut two slices off and place directly under your eyes for a few minutes.
"When allowing chicken to marinate, you can",Cover in aluminum foil and place in the fridge
how to identify a square,A square is a four-sided figure which is created by connecting 4 line segments. The line segments in the square are all of the equal lengths and they come together to form 4 right angles.
chalk,can easily be broke with tin foil 
How to whip up a batch of body butter.,"Melt 60 grams of shea butter, 10 grams of almond oil in a saucepan and blend with a fork, finish off by pouring into a pretty jar."
how do you use dumbbell bars?,you lift them with your ankles.
How to use an earth magnet to find a stud in the wall.,Slide it over the wall until it sticks. It finds the screws that attach the drywall to the studs.
How to make a simple camping lantern.,Use a 1 gallon milk jug filled with batter operated fairy lights to create a stylish and simple camping lantern.
How do I prevent my muscles from getting sore after lifting weights or exercise?,"When exercising or lifting weights, drink plenty of water. Being dehydrated increases the chances of pulling a muscle, or becoming sore after the exercise."
bath tub,can hold a bowling ball easily.
To cover a print with masking tape before spray painting it.,"Carefully put the tape over the shapes and area to be protected from the paint, following as closely to the original shape as possible."
How to remove water stains from shower glass?,"Use shaving cream.Apply the shaving cream and let it sit for 15 minutes, then wipe off."
To make corn bread.,Purchase a corn bread mix at the store. Jiffy brand is very good. Mix according to the instructions and bake.
To combine cake ingredients.,"In a large mixing bowl, combined three egg yolks and half of the white granulated sugar and whisk till it reaches a pale red berry mixture."
How much rhubarb do I need for making rhubarb strawberry pie?,You need about a fourth of a normal-sized stalk of rhubarb.
How do I get a stain out of my curtains?,"Apply a generous amount of liquid dishwashing soap on the stain. Dampen a sponge with hot water, then blot the fabric to work the soap into the grease. If possible, launder the curtains in hot water with a mineral-based powdered laundry detergent."
Cure a headache with a drink.,Brew some ginger tea.
,
